xflr5 v6.61

Plane name :, Wind Tunnel
Polar name :, T1-17.9 m/s-VLM2-Inviscid
Freestream speed :, 17.9 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.247707,   0.003738,   0.000000,   0.003738,   0.000000,  -0.000000,   0.028486,   0.000000,   0.000000,   17.8814,    0.0186
   -4.500,     0.000,  -0.212584,   0.002752,   0.000000,   0.002752,   0.000000,  -0.000000,   0.020217,   0.000000,   0.000000,   17.8814,    0.0153
   -4.000,     0.000,  -0.177417,   0.001916,   0.000000,   0.001916,   0.000000,  -0.000000,   0.011927,  -0.000000,  -0.000000,   17.8814,    0.0108
   -3.500,     0.000,  -0.142212,   0.001230,   0.000000,   0.001230,   0.000000,  -0.000000,   0.003619,   0.000000,   0.000000,   17.8814,    0.0041
   -3.000,     0.000,  -0.106977,   0.000695,   0.000000,   0.000695,   0.000000,  -0.000000,  -0.004705,   0.000000,   0.000000,   17.8814,   -0.0070
   -2.500,     0.000,  -0.071717,   0.000312,   0.000000,   0.000312,   0.000000,  -0.000000,  -0.013042,   0.000000,   0.000000,   17.8814,   -0.0291
   -2.000,     0.000,  -0.036440,   0.000080,   0.000000,   0.000080,   0.000000,  -0.000000,  -0.021390,  -0.000000,  -0.000000,   17.8814,   -0.0940
   -1.500,     0.000,  -0.001153,   0.000001,   0.000000,   0.000001,   0.000000,   0.000000,  -0.029747,   0.000000,   0.000000,   17.8814,   -4.1334
   -1.000,     0.000,   0.034139,   0.000075,   0.000000,   0.000075,   0.000000,   0.000000,  -0.038109,   0.000000,   0.000000,   17.8814,    0.1787
   -0.500,     0.000,   0.069429,   0.000300,   0.000000,   0.000300,   0.000000,   0.000000,  -0.046474,  -0.000000,  -0.000000,   17.8814,    0.1071
    0.000,     0.000,   0.104709,   0.000679,   0.000000,   0.000679,   0.000000,   0.000000,  -0.054839,  -0.000000,  -0.000000,   17.8814,    0.0838
    0.500,     0.000,   0.139973,   0.001209,   0.000000,   0.001209,   0.000000,   0.000000,  -0.063203,   0.000000,   0.000000,   17.8814,    0.0722
    1.000,     0.000,   0.175215,   0.001892,   0.000000,   0.001892,   0.000000,   0.000000,  -0.071562,  -0.000000,  -0.000000,   17.8814,    0.0653
    1.500,     0.000,   0.210427,   0.002725,   0.000000,   0.002725,   0.000000,   0.000000,  -0.079914,   0.000000,   0.000000,   17.8814,    0.0607
    2.000,     0.000,   0.245604,   0.003710,   0.000000,   0.003710,   0.000000,   0.000000,  -0.088257,   0.000000,   0.000000,   17.8814,    0.0575
    2.500,     0.000,   0.280738,   0.004845,   0.000000,   0.004845,   0.000000,   0.000000,  -0.096587,   0.000000,   0.000000,   17.8814,    0.0550
    3.000,     0.000,   0.315823,   0.006130,   0.000000,   0.006130,   0.000000,   0.000000,  -0.104903,   0.000000,   0.000000,   17.8814,    0.0531
    3.500,     0.000,   0.350852,   0.007563,   0.000000,   0.007563,   0.000000,   0.000000,  -0.113201,  -0.000000,  -0.000000,   17.8814,    0.0516
    4.000,     0.000,   0.385819,   0.009144,   0.000000,   0.009144,   0.000000,   0.000000,  -0.121480,   0.000000,   0.000000,   17.8814,    0.0504
    4.500,     0.000,   0.420717,   0.010872,   0.000000,   0.010872,   0.000000,   0.000000,  -0.129736,  -0.000000,  -0.000000,   17.8814,    0.0493
    5.000,     0.000,   0.455540,   0.012745,   0.000000,   0.012745,   0.000000,   0.000000,  -0.137967,   0.000000,   0.000000,   17.8814,    0.0485
    5.500,     0.000,   0.490281,   0.014762,   0.000000,   0.014762,   0.000000,   0.000000,  -0.146172,   0.000000,   0.000000,   17.8814,    0.0477
    6.000,     0.000,   0.524934,   0.016922,   0.000000,   0.016922,   0.000000,   0.000000,  -0.154346,  -0.000000,  -0.000000,   17.8814,    0.0471
    6.500,     0.000,   0.559493,   0.019223,   0.000000,   0.019223,   0.000000,   0.000000,  -0.162488,  -0.000000,  -0.000000,   17.8814,    0.0466
    7.000,     0.000,   0.593950,   0.021663,   0.000000,   0.021663,   0.000000,   0.000000,  -0.170596,  -0.000000,  -0.000000,   17.8814,    0.0461
    7.500,     0.000,   0.628300,   0.024241,   0.000000,   0.024241,   0.000000,   0.000000,  -0.178666,   0.000000,   0.000000,   17.8814,    0.0456
    8.000,     0.000,   0.662537,   0.026954,   0.000000,   0.026954,   0.000000,   0.000000,  -0.186696,  -0.000000,  -0.000000,   17.8814,    0.0453
    8.500,     0.000,   0.696654,   0.029802,   0.000000,   0.029802,   0.000000,   0.000000,  -0.194685,  -0.000000,  -0.000000,   17.8814,    0.0449
    9.000,     0.000,   0.730646,   0.032781,   0.000000,   0.032781,   0.000000,   0.000000,  -0.202628,   0.000000,   0.000000,   17.8814,    0.0446
    9.500,     0.000,   0.764505,   0.035890,   0.000000,   0.035890,   0.000000,   0.000000,  -0.210525,   0.000000,   0.000000,   17.8814,    0.0444
   10.000,     0.000,   0.798227,   0.039126,   0.000000,   0.039126,   0.000000,   0.000000,  -0.218372,   0.000000,   0.000000,   17.8814,    0.0441
   10.500,     0.000,   0.831805,   0.042487,   0.000000,   0.042487,   0.000000,   0.000000,  -0.226168,  -0.000000,  -0.000000,   17.8814,    0.0439
   11.000,     0.000,   0.865234,   0.045970,   0.000000,   0.045970,   0.000000,   0.000000,  -0.233909,   0.000000,   0.000000,   17.8814,    0.0437
   11.500,     0.000,   0.898506,   0.049574,   0.000000,   0.049574,   0.000000,   0.000000,  -0.241594,  -0.000000,  -0.000000,   17.8814,    0.0435
   12.000,     0.000,   0.931618,   0.053294,   0.000000,   0.053294,   0.000000,   0.000000,  -0.249220,  -0.000000,  -0.000000,   17.8814,    0.0434
   12.500,     0.000,   0.964563,   0.057129,   0.000000,   0.057129,   0.000000,   0.000000,  -0.256785,   0.000000,   0.000000,   17.8814,    0.0432
   13.000,     0.000,   0.997335,   0.061076,   0.000000,   0.061076,   0.000000,   0.000000,  -0.264286,  -0.000000,  -0.000000,   17.8814,    0.0431
   13.500,     0.000,   1.029930,   0.065131,   0.000000,   0.065131,   0.000000,   0.000000,  -0.271722,   0.000000,   0.000000,   17.8814,    0.0430
   14.000,     0.000,   1.062341,   0.069292,   0.000000,   0.069292,   0.000000,   0.000000,  -0.279089,   0.000000,   0.000000,   17.8814,    0.0429
   14.500,     0.000,   1.094563,   0.073556,   0.000000,   0.073556,   0.000000,   0.000000,  -0.286386,  -0.000000,  -0.000000,   17.8814,    0.0428
   15.000,     0.000,   1.126591,   0.077918,   0.000000,   0.077918,   0.000000,   0.000000,  -0.293611,   0.000000,   0.000000,   17.8814,    0.0427
   15.500,     0.000,   1.158421,   0.082378,   0.000000,   0.082378,   0.000000,   0.000000,  -0.300761,  -0.000000,  -0.000000,   17.8814,    0.0426
   16.000,     0.000,   1.190046,   0.086929,   0.000000,   0.086929,   0.000000,   0.000000,  -0.307834,   0.000000,   0.000000,   17.8814,    0.0425
   16.500,     0.000,   1.221462,   0.091571,   0.000000,   0.091571,   0.000000,   0.000000,  -0.314828,  -0.000000,  -0.000000,   17.8814,    0.0425
   17.000,     0.000,   1.252665,   0.096298,   0.000000,   0.096298,   0.000000,   0.000000,  -0.321741,   0.000000,   0.000000,   17.8814,    0.0424
   17.500,     0.000,   1.283648,   0.101107,   0.000000,   0.101107,   0.000000,   0.000000,  -0.328570,  -0.000000,  -0.000000,   17.8814,    0.0424
   18.000,     0.000,   1.314408,   0.105995,   0.000000,   0.105995,   0.000000,   0.000000,  -0.335314,   0.000000,   0.000000,   17.8814,    0.0423
   18.500,     0.000,   1.344940,   0.110958,   0.000000,   0.110958,   0.000000,   0.000000,  -0.341971,   0.000000,   0.000000,   17.8814,    0.0423
   19.000,     0.000,   1.375240,   0.115993,   0.000000,   0.115993,   0.000000,   0.000000,  -0.348539,   0.000000,   0.000000,   17.8814,    0.0423
   19.500,     0.000,   1.405303,   0.121095,   0.000000,   0.121095,   0.000000,   0.000000,  -0.355014,  -0.000000,  -0.000000,   17.8814,    0.0422
   20.000,     0.000,   1.435125,   0.126260,   0.000000,   0.126260,   0.000000,   0.000000,  -0.361397,   0.000000,   0.000000,   17.8814,    0.0422
   20.500,     0.000,   1.464702,   0.131485,   0.000000,   0.131485,   0.000000,   0.000000,  -0.367684,  -0.000000,  -0.000000,   17.8814,    0.0422
   21.000,     0.000,   1.494030,   0.136766,   0.000000,   0.136766,   0.000000,   0.000000,  -0.373874,  -0.000000,  -0.000000,   17.8814,    0.0422
   21.500,     0.000,   1.523105,   0.142098,   0.000000,   0.142098,   0.000000,   0.000000,  -0.379965,  -0.000000,  -0.000000,   17.8814,    0.0422
   22.000,     0.000,   1.551923,   0.147478,   0.000000,   0.147478,   0.000000,   0.000000,  -0.385954,   0.000000,   0.000000,   17.8814,    0.0422
   22.500,     0.000,   1.580480,   0.152901,   0.000000,   0.152901,   0.000000,   0.000000,  -0.391841,  -0.000000,  -0.000000,   17.8814,    0.0422
   23.000,     0.000,   1.608774,   0.158364,   0.000000,   0.158364,   0.000000,   0.000000,  -0.397623,   0.000000,   0.000000,   17.8814,    0.0422
   23.500,     0.000,   1.636799,   0.163862,   0.000000,   0.163862,   0.000000,   0.000000,  -0.403299,   0.000000,   0.000000,   17.8814,    0.0422
   24.000,     0.000,   1.664554,   0.169391,   0.000000,   0.169391,   0.000000,   0.000000,  -0.408867,   0.000000,   0.000000,   17.8814,    0.0422
   24.500,     0.000,   1.692035,   0.174946,   0.000000,   0.174946,   0.000000,   0.000000,  -0.414325,  -0.000000,  -0.000000,   17.8814,    0.0422
   25.000,     0.000,   1.719239,   0.180523,   0.000000,   0.180523,   0.000000,   0.000000,  -0.419671,  -0.000000,  -0.000000,   17.8814,    0.0423


