  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      32	 15:40:25	  15.000	   97.75	 1026.37	   21.11	  745.19	   1.215	 -267.77	 -130.52	 -163.83	 -162.09	 -168.79	 -156.58	 -151.68	 -155.37	 -152.28	 -148.79	 -137.90	 -144.43	 -140.33	 -141.46	 -130.43	 -129.91	 -123.86	 -119.95	 -116.08	 -111.18	 -108.19	 -103.80	  -96.94	  -91.20	  -66.90	 -262.65	  137.97	  197.12	  166.43	  128.94	  104.10	   90.12	   77.79	   67.87	   58.52	   50.78	   43.55	   36.41	   30.62	   25.22	   19.65	   14.38	   10.08	    5.99	    2.45	   -1.02	   -4.47	   -8.76	  -66.90	  201.78	  202.31	  202.51	  201.52	  201.85	  201.81	  202.34	  202.77	  200.94	  198.35	  191.92	  186.20	  178.84	  170.21	  161.13	  151.93	  141.97	  132.94	  125.63	  119.94	  113.59	  109.10	  107.84	  107.58	  108.58	  110.26	  111.33	  115.19	  119.55	  125.22	  125.56	  132.28	  140.06	  139.50	  151.58	  158.25	  164.05	  167.83	  175.52	  184.59	  189.71	  195.87	  198.15	  198.72	  200.27	  202.18	  201.04	  195.33	  -11.29	   10.21	    7.99	    1.08	   -5.83	  -13.85	  -12.37	  -14.26	  -14.61	  -15.19	  -14.40	   11.03	   -1.05	   -0.01	   -0.07	   -0.06
      33	 15:40:42	  15.500	   97.63	 1026.46	   21.12	  744.93	   1.215	 -252.41	 -113.08	 -137.94	 -134.05	 -140.83	 -130.67	 -124.41	 -130.98	 -128.65	 -127.57	 -119.64	 -129.20	 -127.01	 -130.02	 -122.34	 -124.29	 -121.09	 -119.09	 -117.44	 -114.61	 -112.95	 -108.54	 -102.16	  -97.00	  -74.24	 -247.74	  144.38	  197.10	  165.23	  127.69	  102.79	   89.10	   76.51	   66.51	   57.03	   49.15	   41.82	   34.45	   28.47	   22.83	   17.04	   11.42	    6.91	    2.50	   -1.32	   -5.17	   -9.09	  -13.92	  -74.24	  202.03	  202.59	  202.79	  201.72	  202.05	  202.14	  202.80	  202.72	  200.09	  196.71	  188.65	  182.15	  175.21	  167.03	  158.55	  150.16	  140.54	  132.15	  124.82	  118.52	  111.73	  106.86	  106.11	  105.12	  105.99	  107.88	  109.29	  113.82	  117.57	  123.73	  126.28	  134.12	  137.43	  143.07	  151.35	  157.77	  164.32	  167.81	  177.40	  188.40	  194.01	  198.56	  199.99	  199.41	  200.95	  202.62	  201.27	  193.95	  -10.87	    9.42	    7.06	    0.50	   -6.95	  -16.33	  -13.59	  -17.13	  -16.73	  -16.52	  -13.88	   10.33	   -1.55	   -0.02	   -0.07	   -0.07
      34	 15:40:53	  16.000	   96.44	 1026.41	   21.13	  745.07	   1.215	 -241.77	 -104.69	 -127.07	 -122.60	 -129.35	 -119.54	 -114.53	 -120.93	 -118.81	 -117.39	 -110.03	 -120.92	 -120.36	 -124.20	 -116.69	 -120.06	 -117.87	 -116.87	 -116.57	 -115.14	 -114.58	 -111.86	 -106.46	 -101.42	  -78.46	 -237.44	  144.34	  195.18	  164.09	  126.94	  102.11	   88.40	   76.13	   66.03	   56.49	   48.50	   41.01	   33.49	   27.36	   21.58	   15.60	    9.78	    5.11	    0.51	   -3.51	   -7.65	  -11.90	  -16.96	  -78.46	  200.52	  200.90	  200.94	  200.21	  200.57	  200.51	  201.10	  201.17	  198.06	  194.10	  184.13	  175.88	  168.15	  158.58	  148.93	  139.73	  130.02	  121.60	  114.63	  109.55	  103.51	   99.31	   98.41	   98.46	  100.33	  103.50	  106.39	  111.67	  115.95	  122.07	  124.72	  132.15	  138.43	  141.02	  150.62	  156.68	  162.86	  166.16	  174.50	  184.63	  189.73	  194.68	  196.83	  197.22	  199.49	  201.44	  200.19	  193.94	  -13.62	    9.58	    6.91	   -0.43	   -9.30	  -18.05	  -16.37	  -19.02	  -19.21	  -18.82	  -17.50	   10.24	   -1.25	   -0.02	   -0.09	   -0.06
      35	 15:41:06	  16.500	   96.69	 1026.42	   21.13	  744.91	   1.215	 -228.83	  -96.06	 -117.34	 -112.43	 -118.78	 -108.19	 -103.86	 -108.98	 -108.40	 -105.61	  -99.26	 -111.61	 -112.58	 -116.74	 -110.69	 -113.96	 -112.83	 -112.82	 -113.26	 -112.96	 -113.26	 -110.97	 -105.68	 -101.62	  -80.21	 -223.80	  145.98	  195.33	  164.60	  127.68	  102.75	   88.79	   76.47	   66.30	   56.61	   48.48	   40.85	   33.18	   26.92	   20.96	   14.81	    8.84	    4.00	   -0.84	   -5.12	   -9.34	  -13.78	  -19.09	  -80.21	  200.55	  200.99	  201.20	  200.40	  200.70	  200.54	  201.05	  201.16	  198.43	  194.61	  186.20	  179.34	  171.52	  161.50	  151.40	  143.17	  132.55	  122.22	  113.68	  108.07	  100.87	   96.52	   95.14	   93.12	   93.44	   95.36	   96.32	  100.73	  105.59	  111.29	  113.25	  121.44	  123.83	  128.26	  137.38	  144.17	  150.41	  154.57	  165.26	  176.80	  183.30	  190.50	  194.15	  195.71	  198.91	  200.89	  199.78	  194.90	  -13.00	    9.15	    6.32	   -1.67	  -11.44	  -19.11	  -18.53	  -17.42	  -17.50	  -17.82	  -16.07	    9.62	   -0.95	   -0.03	   -0.08	   -0.05
      36	 15:41:16	  17.000	   95.86	 1026.42	   21.13	  745.03	   1.215	 -222.33	  -92.60	 -114.19	 -107.36	 -115.04	 -104.72	 -100.45	 -105.27	 -103.64	 -100.78	  -94.52	 -106.71	 -105.95	 -110.94	 -105.35	 -109.59	 -108.64	 -109.56	 -110.37	 -110.86	 -112.10	 -110.57	 -106.21	 -103.35	  -84.37	 -217.99	  143.12	  193.22	  163.82	  127.61	  102.91	   89.48	   76.68	   66.40	   56.65	   48.45	   40.71	   32.97	   26.55	   20.41	   14.15	    8.02	    3.07	   -1.91	   -6.39	  -10.84	  -15.50	  -21.02	  -84.37	  198.45	  198.90	  198.75	  198.00	  198.62	  198.48	  198.85	  198.74	  196.55	  193.79	  186.62	  180.64	  174.35	  167.18	  158.98	  150.35	  139.38	  129.59	  119.83	  111.46	  102.87	   96.31	   91.48	   87.35	   85.66	   84.21	   82.36	   84.54	   87.30	   91.56	   92.38	   99.22	  108.43	  108.17	  122.04	  129.38	  135.88	  140.83	  152.96	  167.86	  177.91	  188.41	  193.37	  194.96	  197.23	  199.29	  198.12	  193.16	  -11.54	    8.14	    4.53	   -3.86	  -13.16	  -19.73	  -20.10	  -18.12	  -17.40	  -17.03	  -15.36	    8.80	   -0.77	   -0.04	   -0.08	   -0.06
      37	 15:41:28	  18.000	   97.08	 1026.46	   21.12	  745.09	   1.215	 -209.01	  -93.02	 -115.53	 -109.94	 -114.95	 -106.24	 -102.23	 -106.73	 -105.31	 -102.50	  -95.71	 -107.56	 -107.34	 -111.05	 -105.87	 -110.52	 -109.53	 -110.64	 -111.83	 -112.67	 -114.79	 -114.27	 -111.01	 -109.19	  -92.81	 -205.31	  141.16	  195.73	  167.90	  131.32	  106.44	   92.72	   79.27	   68.57	   58.41	   49.77	   41.58	   33.43	   26.66	   20.10	   13.34	    6.84	    1.48	   -3.99	   -8.90	  -13.88	  -19.03	  -25.24	  -92.81	  200.36	  200.80	  200.78	  200.00	  200.33	  200.18	  200.60	  200.40	  197.69	  194.47	  188.43	  182.99	  177.46	  170.76	  163.86	  156.32	  147.41	  137.47	  127.03	  115.45	  102.14	   91.13	   82.62	   74.67	   68.09	   61.84	   56.60	   55.78	   56.45	   58.04	   58.05	   64.04	   67.02	   72.58	   80.45	   89.22	   97.81	  104.83	  123.15	  145.07	  159.50	  174.90	  184.71	  191.15	  196.09	  199.34	  199.44	  194.82	   -8.37	    7.08	    1.62	   -9.10	  -20.55	  -23.38	  -26.00	  -19.55	  -17.77	  -17.76	  -14.28	    8.58	   -0.70	   -0.03	   -0.06	   -0.04
      38	 15:41:43	  19.000	   97.11	 1026.43	   21.13	  744.79	   1.215	 -139.00	  -93.58	 -115.50	 -109.88	 -114.53	 -106.20	 -102.33	 -108.35	 -106.59	 -104.06	  -96.88	 -108.58	 -108.71	 -112.68	 -106.68	 -112.02	 -111.01	 -111.83	 -112.97	 -113.97	 -115.91	 -115.02	 -111.72	 -110.17	  -95.78	 -134.53	  137.11	  197.38	  172.33	  136.42	  111.60	   97.06	   83.74	   72.77	   62.22	   53.28	   44.77	   36.31	   29.18	   22.33	   15.19	    8.33	    2.58	   -3.21	   -8.50	  -13.81	  -19.32	  -25.90	  -95.78	  201.63	  202.26	  202.42	  201.44	  201.71	  201.79	  202.19	  201.95	  198.78	  195.01	  186.91	  180.14	  173.57	  166.10	  159.28	  150.47	  139.19	  126.94	  115.30	  103.86	   91.38	   80.08	   69.97	   61.49	   54.94	   49.76	   45.64	   45.20	   46.68	   48.69	   49.16	   54.89	   58.08	   63.11	   73.08	   81.91	   91.60	   99.66	  118.60	  140.95	  158.28	  175.38	  185.97	  192.69	  198.29	  201.65	  201.07	  192.85	  -10.61	    4.95	   -2.32	  -14.83	  -27.30	  -27.05	  -30.49	  -23.05	  -20.65	  -20.52	  -16.83	    7.04	   -0.73	   -0.05	   -0.08	   -0.07
      39	 15:41:54	  20.000	   97.42	 1026.40	   21.13	  744.62	   1.215	 -130.38	  -90.14	 -114.38	 -108.17	 -112.61	 -105.11	 -101.47	 -107.28	 -105.24	 -102.86	  -95.43	 -107.03	 -107.21	 -110.99	 -104.77	 -110.28	 -109.03	 -109.82	 -110.37	 -111.32	 -113.14	 -112.49	 -109.61	 -108.66	  -97.48	 -126.41	  130.66	  196.18	  175.74	  140.49	  115.41	  101.30	   87.90	   76.70	   65.97	   56.82	   48.11	   39.41	   32.03	   24.94	   17.57	   10.45	    4.39	   -1.68	   -7.19	  -12.86	  -18.71	  -25.46	  -97.48	  200.30	  200.77	  200.79	  200.08	  200.23	  200.09	  200.10	  199.11	  194.77	  188.29	  178.50	  172.03	  164.57	  154.34	  145.57	  135.87	  125.05	  114.59	  102.72	   90.79	   76.52	   65.90	   55.51	   46.55	   39.18	   34.62	   30.28	   29.89	   31.26	   32.18	   33.18	   39.51	   43.72	   48.03	   60.68	   69.57	   79.12	   86.34	  107.73	  131.25	  151.58	  171.14	  183.44	  190.22	  196.70	  200.46	  200.30	  194.88	  -10.69	    0.50	   -9.04	  -23.18	  -35.77	  -34.70	  -39.28	  -28.47	  -24.86	  -22.25	  -16.72	    4.22	   -0.73	   -0.05	   -0.07	   -0.07
      40	 15:42:15	  19.000	   97.13	 1026.46	   21.12	  744.73	   1.215	 -138.85	  -93.32	 -116.21	 -110.25	 -114.89	 -107.29	 -103.30	 -108.92	 -107.44	 -104.23	  -97.50	 -108.74	 -108.37	 -113.42	 -107.66	 -111.94	 -111.38	 -112.15	 -112.59	 -114.53	 -116.56	 -116.18	 -112.73	 -111.39	  -96.42	 -135.17	  136.15	  196.79	  172.53	  136.47	  111.54	   97.07	   83.81	   72.77	   62.21	   53.27	   44.69	   36.24	   29.07	   22.18	   15.03	    8.19	    2.41	   -3.42	   -8.76	  -14.15	  -19.70	  -26.36	  -96.42	  201.27	  201.69	  201.85	  200.91	  201.42	  201.05	  201.63	  201.34	  198.52	  194.17	  185.86	  179.34	  172.55	  164.45	  156.39	  147.53	  136.83	  125.62	  113.83	  102.38	   88.63	   78.82	   69.93	   62.01	   55.48	   50.76	   46.70	   46.62	   47.73	   48.79	   48.36	   53.72	   54.83	   60.50	   70.79	   78.91	   87.45	   94.95	  113.58	  135.89	  155.57	  173.44	  183.67	  190.99	  196.33	  200.24	  200.92	  196.17	   -8.45	    3.93	   -3.84	  -15.56	  -26.26	  -27.49	  -31.03	  -24.58	  -21.81	  -20.64	  -14.98	    6.58	   -1.15	   -0.05	   -0.09	   -0.10
      41	 15:42:28	  18.000	   98.10	 1026.41	   21.13	  744.84	   1.215	 -213.87	  -92.36	 -116.25	 -110.90	 -115.99	 -106.90	 -102.73	 -108.17	 -106.47	 -104.05	  -96.69	 -108.68	 -107.72	 -112.39	 -106.55	 -111.85	 -110.49	 -112.06	 -112.04	 -114.25	 -116.81	 -115.85	 -112.08	 -110.31	  -93.60	 -209.44	  143.17	  197.98	  169.77	  132.66	  108.20	   93.16	   80.08	   69.27	   58.93	   50.23	   41.89	   33.82	   26.73	   20.10	   13.26	    6.72	    1.27	   -4.30	   -9.32	  -14.33	  -19.53	  -25.71	  -93.60	  202.72	  203.26	  203.53	  202.50	  202.88	  202.79	  203.34	  202.97	  200.70	  197.56	  190.53	  185.32	  180.37	  174.05	  165.64	  157.60	  147.84	  138.08	  127.18	  116.34	  102.86	   91.46	   83.07	   74.20	   67.92	   62.22	   57.61	   56.92	   57.26	   57.96	   57.83	   63.11	   67.99	   68.54	   81.05	   89.22	   98.60	  105.42	  121.93	  143.03	  157.62	  173.92	  184.90	  191.87	  198.17	  201.99	  201.60	  192.87	   -7.89	    6.94	    1.18	   -9.13	  -20.72	  -24.00	  -27.36	  -21.09	  -19.50	  -19.39	  -13.79	    8.14	   -1.79	   -0.03	   -0.07	   -0.08
      42	 15:42:38	  17.000	   97.77	 1026.43	   21.13	  744.99	   1.215	 -229.48	  -95.93	 -118.30	 -113.73	 -119.92	 -110.22	 -105.63	 -111.47	 -109.89	 -108.21	 -101.15	 -113.88	 -114.08	 -119.15	 -113.46	 -117.25	 -116.30	 -116.80	 -116.25	 -117.41	 -118.51	 -116.20	 -111.24	 -107.98	  -87.09	 -224.82	  146.15	  196.89	  166.35	  129.10	  104.36	   89.85	   77.15	   66.67	   56.70	   48.36	   40.42	   32.72	   26.03	   19.78	   13.32	    7.13	    2.15	   -2.96	   -7.50	  -12.05	  -16.78	  -22.45	  -87.09	  202.19	  202.72	  202.94	  201.89	  202.37	  202.25	  202.74	  202.51	  200.17	  197.90	  191.97	  187.13	  181.24	  174.22	  167.08	  158.80	  148.51	  138.07	  127.65	  117.88	  106.78	   97.97	   91.47	   85.93	   82.45	   80.60	   77.34	   77.37	   79.35	   82.92	   83.00	   88.27	   92.64	   96.31	  107.10	  114.73	  122.68	  128.91	  143.87	  161.15	  173.88	  186.54	  193.15	  196.01	  199.35	  201.64	  200.76	  196.01	  -13.39	    7.52	    3.84	   -4.83	  -14.72	  -19.80	  -21.47	  -17.81	  -17.47	  -18.44	  -17.22	    8.13	   -1.52	   -0.03	   -0.07	   -0.09
      43	 15:42:46	  16.000	   97.23	 1026.40	   21.14	  744.36	   1.215	 -236.47	  -99.62	 -124.43	 -121.31	 -126.56	 -115.71	 -111.27	 -116.55	 -114.39	 -112.19	 -104.70	 -116.12	 -115.33	 -119.84	 -113.00	 -115.92	 -114.04	 -113.68	 -112.09	 -112.43	 -112.37	 -109.39	 -103.55	  -99.15	  -77.48	 -232.40	  144.60	  195.12	  164.13	  127.05	  102.53	   88.72	   76.28	   66.18	   56.65	   48.72	   41.19	   33.90	   27.62	   21.81	   15.81	   10.12	    5.42	    0.79	   -3.19	   -7.32	  -11.48	  -16.50	  -77.48	  200.55	  201.09	  201.29	  200.08	  200.60	  200.52	  201.03	  201.11	  198.18	  193.97	  185.25	  178.19	  170.35	  161.93	  152.26	  143.91	  134.07	  125.21	  116.43	  111.37	  104.03	   99.52	   99.35	   98.65	   98.72	  101.28	  102.08	  106.94	  111.77	  118.13	  120.33	  128.10	  137.34	  135.46	  151.13	  157.65	  163.99	  168.55	  178.62	  189.96	  193.79	  197.81	  199.39	  198.89	  200.85	  202.28	  201.09	  193.87	  -13.52	    9.55	    6.95	   -0.05	   -8.19	  -18.01	  -15.68	  -17.93	  -17.43	  -17.53	  -17.27	   10.36	   -1.01	   -0.02	   -0.06	   -0.07
      44	 15:42:54	  15.000	   98.25	 1026.42	   21.15	  745.02	   1.215	 -269.01	 -132.52	 -165.56	 -162.71	 -169.32	 -157.81	 -151.34	 -155.32	 -150.82	 -148.52	 -137.19	 -144.66	 -140.39	 -141.70	 -130.82	 -129.87	 -124.78	 -119.81	 -114.68	 -111.63	 -108.36	 -103.85	  -96.61	  -90.19	  -66.01	 -263.71	  134.37	  196.10	  166.40	  128.72	  104.03	   89.99	   77.61	   67.67	   58.31	   50.60	   43.34	   36.43	   30.46	   25.09	   19.45	   14.21	    9.91	    5.85	    2.36	   -1.15	   -4.59	   -8.99	  -66.01	  200.98	  201.45	  201.56	  200.84	  200.99	  201.10	  201.55	  201.62	  199.25	  196.13	  189.21	  182.89	  175.92	  168.07	  160.01	  152.50	  143.23	  134.29	  127.22	  121.02	  114.67	  110.82	  109.61	  109.31	  109.41	  110.91	  111.56	  115.72	  119.90	  125.35	  126.97	  132.87	  136.47	  139.00	  148.38	  154.71	  160.63	  164.02	  172.60	  181.28	  186.78	  192.35	  195.18	  196.10	  198.83	  201.05	  200.08	  194.51	   -9.51	    9.58	    6.91	    0.00	   -6.98	  -14.87	  -13.34	  -14.91	  -15.06	  -15.07	  -12.20	   10.64	   -1.69	   -0.04	   -0.07	   -0.08
      45	 15:43:04	  14.000	   96.50	 1026.39	   21.15	  745.16	   1.215	 -324.61	 -204.45	 -277.01	 -274.91	 -265.04	 -239.74	 -222.23	 -213.39	 -198.90	 -183.25	 -162.42	 -160.35	 -146.74	 -140.53	 -123.11	 -117.67	 -107.61	  -98.76	  -90.45	  -85.20	  -79.69	  -74.01	  -65.68	  -60.67	  -42.90	 -320.56	  108.83	  196.18	  172.66	  134.82	  109.87	   95.69	   83.16	   73.28	   64.09	   56.60	   49.75	   43.12	   37.66	   32.67	   27.65	   23.00	   19.29	   15.97	   13.12	   10.41	    7.94	    4.75	  -42.90	  200.86	  201.34	  201.47	  200.64	  200.99	  200.87	  201.43	  201.87	  200.43	  199.52	  195.87	  191.18	  185.91	  178.93	  171.50	  164.02	  154.97	  146.41	  138.54	  132.83	  126.54	  122.13	  121.13	  120.96	  121.18	  123.94	  125.00	  127.91	  130.48	  135.17	  136.34	  142.55	  147.74	  147.89	  158.51	  163.23	  166.80	  169.41	  175.96	  184.60	  188.34	  193.65	  195.97	  195.92	  198.07	  199.97	  199.39	  192.62	   -6.18	   10.72	    8.73	    2.60	   -3.29	   -9.95	   -8.55	  -11.21	  -11.24	  -11.23	   -7.94	   11.51	   -1.56	   -0.04	   -0.07	   -0.07
      46	 15:43:15	  13.126	   98.00	 1026.42	   21.16	  744.82	   1.215	 -667.73	 -433.47	 -655.21	 -410.19	 -316.53	 -266.68	 -227.00	 -203.95	 -178.56	 -154.06	 -124.62	 -117.24	  -99.65	  -89.13	  -71.17	  -67.64	  -61.84	  -57.69	  -55.36	  -53.84	  -52.54	  -51.03	  -47.00	  -45.46	  -34.60	 -664.07	   18.51	  190.65	  182.61	  143.40	  117.45	  101.36	   88.21	   77.73	   68.16	   60.31	   53.19	   46.30	   40.79	   35.76	   30.67	   26.01	   22.36	   18.97	   16.12	   13.38	   10.89	    8.12	  -34.60	  200.74	  201.38	  201.34	  200.44	  200.88	  200.81	  201.32	  201.84	  200.36	  200.30	  199.60	  197.68	  195.60	  191.83	  185.81	  176.98	  163.67	  149.34	  137.96	  132.64	  133.62	  139.52	  150.78	  161.43	  169.40	  176.46	  178.45	  180.97	  182.31	  183.97	  182.58	  186.86	  196.37	  182.18	  197.31	  198.47	  198.69	  198.22	  199.36	  201.10	  199.67	  200.33	  200.34	  198.51	  199.87	  201.27	  200.00	  192.42	    5.24	   12.57	   12.75	    9.71	    4.86	    6.58	    5.22	    7.80	    7.07	    5.83	    5.99	   13.03	   -1.21	   -0.03	   -0.07	   -0.08
      47	 15:43:34	  12.500	   97.96	 1026.39	   21.17	  744.81	   1.215	 -822.31	 -641.09	 -807.92	 -417.91	 -343.23	 -285.29	 -240.74	 -213.54	 -184.25	 -157.64	 -125.94	 -116.49	  -95.78	  -82.12	  -59.05	  -51.98	  -44.30	  -38.14	  -36.47	  -35.57	  -36.98	  -36.22	  -31.72	  -32.62	  -24.63	 -818.48	  -21.41	  189.86	  185.83	  145.97	  119.46	  102.76	   89.62	   79.12	   69.58	   61.81	   54.88	   48.00	   42.85	   38.02	   33.12	   28.82	   25.47	   22.43	   19.97	   17.51	   15.44	   12.91	  -24.63	  201.53	  202.16	  202.43	  201.29	  201.77	  201.76	  202.24	  202.75	  201.54	  201.78	  202.28	  201.63	  201.26	  199.96	  196.16	  188.79	  175.09	  158.44	  143.61	  135.35	  135.83	  145.13	  161.00	  177.30	  189.33	  197.97	  199.58	  201.08	  201.89	  202.34	  199.03	  202.56	  201.14	  197.07	  201.26	  201.97	  201.96	  201.09	  201.27	  202.50	  200.76	  201.29	  201.06	  199.20	  200.32	  201.79	  200.49	  188.60	    6.79	   12.71	   13.19	   11.23	    7.04	    9.70	    7.87	   10.37	    9.50	    8.18	    7.97	   13.17	   -1.14	   -0.01	   -0.08	   -0.09
      48	 15:43:44	  12.000	   96.94	 1026.43	   21.18	  744.71	   1.215	 -851.08	 -635.72	 -798.07	 -400.62	 -344.84	 -288.07	 -245.52	 -219.42	 -191.43	 -166.32	 -138.34	 -130.04	 -111.02	  -96.81	  -72.52	  -60.85	  -48.56	  -38.15	  -32.70	  -29.69	  -31.30	  -29.90	  -24.65	  -23.91	  -16.31	 -846.58	  -19.82	  187.88	  182.40	  142.25	  116.39	   99.90	   87.09	   76.96	   67.72	   60.32	   53.69	   47.35	   42.35	   37.87	   33.32	   29.43	   26.44	   23.83	   21.74	   19.81	   18.24	   16.51	  -16.31	  199.11	  199.38	  199.44	  198.81	  199.01	  199.01	  199.58	  200.04	  198.70	  199.39	  199.63	  198.97	  198.92	  198.60	  198.42	  197.76	  192.90	  183.56	  169.94	  153.91	  139.09	  132.78	  138.62	  151.87	  166.97	  185.22	  192.72	  197.30	  199.19	  199.63	  196.61	  199.97	  199.51	  195.37	  199.70	  200.33	  200.29	  199.42	  199.66	  200.91	  199.21	  199.56	  199.57	  197.70	  198.81	  200.30	  198.74	  189.32	    7.17	   12.90	   13.35	   12.19	    9.32	    9.56	    8.81	   10.83	    9.85	    8.55	    8.35	   13.38	   -1.25	   -0.04	   -0.10	   -0.11
      49	 15:44:02	  12.000	   96.74	 1026.47	   21.18	  745.11	   1.215	 -864.65	 -649.95	 -812.63	 -403.81	 -349.90	 -292.39	 -249.79	 -223.07	 -195.48	 -170.03	 -141.28	 -132.68	 -113.11	  -98.72	  -74.25	  -62.94	  -50.19	  -39.58	  -34.23	  -30.78	  -31.90	  -30.54	  -25.16	  -24.49	  -17.90	 -861.36	  -21.00	  189.40	  183.24	  142.84	  116.61	  100.09	   87.11	   76.82	   67.52	   60.05	   53.36	   46.99	   41.91	   37.41	   32.84	   28.87	   25.90	   23.23	   21.15	   19.19	   17.61	   15.85	  -17.90	  200.27	  200.83	  201.16	  200.06	  200.45	  200.44	  200.94	  201.44	  200.04	  200.63	  201.00	  200.37	  200.21	  199.97	  199.89	  199.28	  194.56	  185.22	  171.08	  155.24	  139.68	  133.33	  138.96	  152.61	  168.12	  186.12	  193.64	  198.58	  200.39	  201.11	  197.93	  201.44	  200.89	  196.06	  200.94	  201.59	  201.70	  200.86	  201.00	  202.13	  200.34	  200.80	  200.72	  199.01	  200.23	  201.46	  200.25	  194.60	    6.99	   12.75	   13.21	   12.06	    9.12	    9.28	    8.45	   10.60	    9.68	    8.37	    8.17	   13.22	   -1.11	   -0.02	   -0.07	   -0.05
      50	 15:44:15	  11.750	  100.01	 1026.44	   21.19	  744.92	   1.215	 -917.30	 -664.72	 -829.39	 -413.95	 -360.77	 -300.82	 -258.43	 -232.01	 -203.72	 -178.71	 -152.46	 -142.22	 -123.68	 -109.06	  -84.88	  -74.26	  -58.23	  -45.55	  -37.19	  -30.22	  -28.74	  -24.98	  -20.13	  -19.01	  -12.61	 -912.67	  -19.39	  194.55	  186.71	  145.21	  118.24	  101.10	   88.31	   77.94	   68.56	   61.03	   54.35	   47.96	   42.93	   38.51	   33.99	   30.09	   27.27	   24.79	   22.95	   21.21	   19.91	   18.40	  -12.61	  204.53	  205.38	  205.41	  204.15	  204.81	  204.76	  205.65	  205.81	  204.77	  204.70	  205.35	  204.79	  204.62	  204.15	  204.41	  204.10	  201.12	  192.50	  178.99	  161.68	  145.27	  137.52	  142.84	  156.76	  172.72	  191.18	  199.18	  203.45	  204.99	  205.35	  202.18	  205.46	  204.70	  201.67	  204.45	  205.39	  205.52	  204.64	  204.58	  206.07	  203.93	  204.81	  204.47	  202.78	  203.77	  205.38	  204.01	  196.18	    6.55	   12.47	   12.91	   11.77	    9.20	    9.04	    8.38	   10.31	    9.28	    7.94	    7.74	   12.96	   -1.69	   -0.03	   -0.08	   -0.10
