xflr5 v6.61

Plane name :, Wind Tunnel
Polar name :, T1-17.9 m/s-VLM1-Inviscid
Freestream speed :, 17.9 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   14.000,     0.000,   1.066933,   0.069524,   0.000000,   0.069524,  -0.000000,   0.000000,  -0.280560,   0.000000,   0.000000,   17.8814,    0.0429
   14.500,     0.000,   1.099281,   0.073797,   0.000000,   0.073797,  -0.000000,   0.000000,  -0.287879,   0.000000,   0.000000,   17.8814,    0.0428
   15.000,     0.000,   1.131434,   0.078169,   0.000000,   0.078169,  -0.000000,   0.000000,  -0.295125,  -0.000000,  -0.000000,   17.8814,    0.0427
   15.500,     0.000,   1.163387,   0.082638,   0.000000,   0.082638,  -0.000000,   0.000000,  -0.302296,  -0.000000,  -0.000000,   17.8814,    0.0426
   16.000,     0.000,   1.195136,   0.087199,   0.000000,   0.087199,  -0.000000,  -0.000000,  -0.309390,  -0.000000,  -0.000000,   17.8814,    0.0426
   16.500,     0.000,   1.226675,   0.091850,   0.000000,   0.091850,  -0.000000,   0.000000,  -0.316405,  -0.000000,  -0.000000,   17.8814,    0.0425
   17.000,     0.000,   1.257999,   0.096587,   0.000000,   0.096587,  -0.000000,   0.000000,  -0.323338,   0.000000,   0.000000,   17.8814,    0.0425
   17.500,     0.000,   1.289104,   0.101406,   0.000000,   0.101406,  -0.000000,   0.000000,  -0.330187,   0.000000,   0.000000,   17.8814,    0.0424
   18.000,     0.000,   1.319985,   0.106305,   0.000000,   0.106305,   0.000000,   0.000000,  -0.336951,  -0.000000,  -0.000000,   17.8814,    0.0424
   18.500,     0.000,   1.350638,   0.111278,   0.000000,   0.111278,   0.000000,   0.000000,  -0.343627,  -0.000000,  -0.000000,   17.8814,    0.0423
   19.000,     0.000,   1.381057,   0.116322,   0.000000,   0.116322,   0.000000,   0.000000,  -0.350213,  -0.000000,  -0.000000,   17.8814,    0.0423
