xflr5 v6.61

Plane name :, Wind Tunnel
Polar name :, T1-17.9 m/s-VLM1
Freestream speed :, 17.9 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.248156,   0.003755,   0.015389,   0.019144,  -0.000000,  -0.000000,   0.028338,   0.000000,   0.000000,   17.8814,    0.0182
   -4.500,     0.000,  -0.212897,   0.002771,   0.014075,   0.016846,  -0.000000,  -0.000000,   0.019982,  -0.000000,  -0.000000,   17.8814,    0.0149
   -4.000,     0.000,  -0.177593,   0.001936,   0.012664,   0.014600,  -0.000000,   0.000000,   0.011609,   0.000000,  -0.000000,   17.8814,    0.0104
   -3.500,     0.000,  -0.142253,   0.001252,   0.011314,   0.012566,  -0.000000,  -0.000000,   0.003225,  -0.000000,   0.000000,   17.8814,    0.0035
   -3.000,     0.000,  -0.106881,   0.000719,   0.010641,   0.011361,  -0.000000,  -0.000000,  -0.005161,  -0.000000,   0.000000,   17.8814,   -0.0079
   -2.500,     0.000,  -0.071486,   0.000338,   0.010668,   0.011007,  -0.000000,  -0.000000,  -0.013549,   0.000000,  -0.000000,   17.8814,   -0.0306
   -2.000,     0.000,  -0.036073,   0.000110,   0.010816,   0.010925,  -0.000000,  -0.000000,  -0.021947,  -0.000000,  -0.000000,   17.8814,   -0.0979
   -1.500,     0.000,  -0.000649,   0.000033,   0.010959,   0.010993,  -0.000000,  -0.000000,  -0.030354,  -0.000000,   0.000000,   17.8814,   -7.5062
   -1.000,     0.000,   0.034779,   0.000110,   0.011062,   0.011172,  -0.000000,  -0.000000,  -0.038768,  -0.000000,  -0.000000,   17.8814,    0.1787
   -0.500,     0.000,   0.070204,   0.000339,   0.011126,   0.011465,  -0.000000,   0.000000,  -0.047184,   0.000000,   0.000000,   17.8814,    0.1076
    0.000,     0.000,   0.105619,   0.000721,   0.011138,   0.011859,  -0.000000,   0.000000,  -0.055602,  -0.000000,   0.000000,   17.8814,    0.0842
    0.500,     0.000,   0.141019,   0.001255,   0.011138,   0.012393,  -0.000000,   0.000000,  -0.064018,  -0.000000,   0.000000,   17.8814,    0.0726
    1.000,     0.000,   0.176396,   0.001942,   0.011095,   0.013036,  -0.000000,   0.000000,  -0.072429,   0.000000,  -0.000000,   17.8814,    0.0656
    1.500,     0.000,   0.211744,   0.002780,   0.011029,   0.013809,  -0.000000,   0.000000,  -0.080832,   0.000000,  -0.000000,   17.8814,    0.0610
    2.000,     0.000,   0.247055,   0.003769,   0.010936,   0.014705,  -0.000000,   0.000000,  -0.089225,   0.000000,   0.000000,   17.8814,    0.0577
    2.500,     0.000,   0.282324,   0.004909,   0.010817,   0.015726,  -0.000000,   0.000000,  -0.097605,   0.000000,   0.000000,   17.8814,    0.0552
    3.000,     0.000,   0.317543,   0.006199,   0.010708,   0.016907,  -0.000000,   0.000000,  -0.105970,  -0.000000,  -0.000000,   17.8814,    0.0533
    3.500,     0.000,   0.352707,   0.007638,   0.010626,   0.018264,  -0.000000,   0.000000,  -0.114317,  -0.000000,   0.000000,   17.8814,    0.0518
    4.000,     0.000,   0.387808,   0.009224,   0.010574,   0.019798,  -0.000000,  -0.000000,  -0.122645,  -0.000000,   0.000000,   17.8814,    0.0505
    4.500,     0.000,   0.422840,   0.010958,   0.010550,   0.021508,  -0.000000,   0.000000,  -0.130950,   0.000000,  -0.000000,   17.8814,    0.0495
    5.000,     0.000,   0.457796,   0.012837,   0.010554,   0.023390,  -0.000000,   0.000000,  -0.139231,  -0.000000,   0.000000,   17.8814,    0.0486
    5.500,     0.000,   0.492671,   0.014860,   0.010579,   0.025439,  -0.000000,   0.000000,  -0.147486,  -0.000000,  -0.000000,   17.8814,    0.0479
    6.000,     0.000,   0.527456,   0.017026,   0.010627,   0.027653,  -0.000000,   0.000000,  -0.155710,   0.000000,  -0.000000,   17.8814,    0.0472
    6.500,     0.000,   0.562147,   0.019334,   0.010696,   0.030030,  -0.000000,   0.000000,  -0.163903,  -0.000000,  -0.000000,   17.8814,    0.0466
    7.000,     0.000,   0.596737,   0.021781,   0.010789,   0.032570,  -0.000000,   0.000000,  -0.172063,  -0.000000,  -0.000000,   17.8814,    0.0462
    7.500,     0.000,   0.631219,   0.024365,   0.010908,   0.035273,  -0.000000,  -0.000000,  -0.180185,   0.000000,   0.000000,   17.8814,    0.0457
    8.000,     0.000,   0.665587,   0.027086,   0.011068,   0.038154,  -0.000000,  -0.000000,  -0.188270,  -0.000000,   0.000000,   17.8814,    0.0453
    8.500,     0.000,   0.699836,   0.029941,   0.011310,   0.041251,  -0.000000,   0.000000,  -0.196317,   0.000000,   0.000000,   17.8814,    0.0450
    9.000,     0.000,   0.733958,   0.032928,   0.011726,   0.044654,  -0.000000,  -0.000000,  -0.204326,   0.000000,  -0.000000,   17.8814,    0.0447
    9.500,     0.000,   0.767948,   0.036044,   0.012407,   0.048451,  -0.000000,   0.000000,  -0.212301,  -0.000000,   0.000000,   17.8814,    0.0444
   10.000,     0.000,   0.801799,   0.039289,   0.013311,   0.052599,  -0.000000,   0.000000,  -0.220239,  -0.000000,  -0.000000,   17.8814,    0.0442
   10.500,     0.000,   0.835506,   0.042658,   0.014897,   0.057555,  -0.000000,   0.000000,  -0.228160,  -0.000000,   0.000000,   17.8814,    0.0440
   11.000,     0.000,   0.869064,   0.046149,   0.017149,   0.063298,  -0.000000,   0.000000,  -0.236065,  -0.000000,  -0.000000,   17.8814,    0.0438
